Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
70,Hard Tit For 2 Tats,2.4775,0.9995499549954996,0.0,1.0,0.8233438950694874,0.17623275377186737,0.0,0.0004233511586452764,1.0,0.967391304348,0,0
71,Tricky Cooperator,2.4775,0.9982198486871384,0.0,1.0,0.8229727831860243,0.17532482531999688,0.0012623528092592688,0.00044003868471953586,0.986376368729,1.0,0,0
72,Win-Stay Lose-Shift: C,2.4775,0.9783099864437416,0.0,1.0,0.8111125093088364,0.1679346324012661,0.011290415053134757,0.00966244323676265,1.0,0,0,1.0
73,Stalker: D,2.4775,0.9885393258426967,0.0,1.0,0.8158417457620877,0.17313237761301672,0.006708991408021161,0.004316885216874383,0.997647058824,0.64253968254,1.0,0
74,Meta Majority Long Memory: 95 players,2.4775,0.9830015656452695,0.0,1.0,0.8080370842216881,0.17514523066712157,0.010407841993459396,0.006409843117731028,1.0,0,1.0,0
75,Champion,2.4775,1.0,0.0,1.0,0.8233347136321703,0.17666528636782974,0.0,0.0,1.0,1.0,0,0
76,Level Punisher,2.475,1.0,0.0,1.0,0.8244174444233658,0.1755825555766342,0.0,0.0,1.0,1.0,0,0
77,Cycler CCCCCD,2.475,1.0,0.0,1.0,0.8237716728489543,0.17622832715104578,0.0,0.0,1.0,1.0,0,0
78,Knowledgeable Worse and Worse,2.475,1.0,0.0,1.0,0.8215137759956692,0.17848622400433073,0.0,0.0,1.0,1.0,0,0
79,VeryBad,2.475,0.9997758350145707,0.0,1.0,0.822943749298163,0.1768479173685037,0.0,0.00020833333333333332,1.0,0.985507246377,0,0
80,Cooperator Hunter,2.475,0.9997762863534676,0.0,1.0,0.8245026509357128,0.17528458310684045,0.0002127659574468086,0.0,0.998357963875,1.0,0,0
81,Once Bitten,2.475,0.9993272034088361,0.0,1.0,0.823854787712988,0.17552299006478977,0.0,0.0006222222222222223,1.0,0.981666666667,0,0
82,"DoubleCrosser: ('D', 'D')",2.475,1.0,0.0,1.0,0.8235202620712343,0.1764797379287657,0.0,0.0,1.0,1.0,0,0
83,Davis: 10,2.475,1.0,0.0,1.0,0.8246697505278855,0.17533024947211448,0.0,0.0,1.0,1.0,0,0
84,Meta Hunter: 6 players,2.475,1.0,0.0,1.0,0.8254327380550873,0.17456726194491273,0.0,0.0,1.0,1.0,0,0
85,Nice Meta Winner Ensemble: 173 players,2.47125,0.9787043263842188,0.0,1.0,0.8075518834856286,0.17173631738741418,0.012298179374452213,0.008413619752505031,1.0,0,0,0
86,Tullock: 11,2.47125,1.0,0.0,1.0,0.8201042238936738,0.1798957761063262,0.0,0.0,1.0,1.0,0,0
87,Adaptive Pavlov 2011,2.47,0.9826086956521739,0.0,1.0,0.8093975861848838,0.1733258815455133,0.00983203658985064,0.007444495679752195,1.0,0,1.0,0
88,PSO Gambler 2_2_2 Noise 05,2.4675,0.9986559139784946,0.0,1.0,0.8215966193311224,0.17711339254027533,0.0008301572617946348,0.00045983086680761114,1.0,0.971014492754,0,0
89,Adaptive,2.4675,1.0,0.0,1.0,0.8230836409990725,0.17691635900092761,0.0,0.0,1.0,1.0,0,0
90,Revised Downing: True,2.4675,0.9966450458510401,0.0,1.0,0.8219281189811439,0.17489103755905472,0.0004347826086956523,0.002746060851105784,1.0,0.938775510204,0,0
91,Cycle Hunter,2.465,1.0,0.0,1.0,0.8191392541618131,0.1808607458381869,0.0,0.0,1.0,1.0,0,0
92,"BackStabber: ('D', 'D')",2.465,1.0,0.0,1.0,0.8240007799699915,0.1759992200300084,0.0,0.0,1.0,1.0,0,0
93,Inverse,2.46416666667,0.9844629587930647,0.0,1.0,0.809055809062355,0.1755155458508486,0.008978863985371744,0.006449781101424794,1.0,0,1.0,0
94,Fool Me Once,2.4625,0.9988841776389199,0.0,1.0,0.8233409035674698,0.17560781722519514,0.0,0.0010512792073351079,1.0,0.975102880658,0,0
95,Cycler CCCDCD,2.4625,0.9993264481365065,0.0,1.0,0.8191030493360365,0.18024457117994666,0.00043961352657004825,0.00021276595744680845,0.994186046512,0.98,0,0
96,Forgetful Fool Me Once: 0.05,2.46166666667,0.9984301412872841,0.0,1.0,0.8179423472852446,0.18053512548633824,0.00019230769230769228,0.0013302195361093237,1.0,0.920512820513,0,0
97,Grofman,2.46,0.9984409799554566,0.0,1.0,0.8206009773200637,0.17784302795002854,0.0,0.0015559947299077735,1.0,0.941228070175,0,0
98,"Stein and Rapoport: 0.05: ('D', 'D')",2.46,0.9997738579828132,0.0,1.0,0.819519282548655,0.18026795149389818,0.0,0.00021276595744680854,1.0,1.0,0,0
99,Tit For 2 Tats,2.46,0.9991140642303433,0.0,1.0,0.8197256182414535,0.17944406443272615,0.0,0.0008303173258202449,1.0,0.97746031746,0,0
100,EvolvedLookerUp2_2_2,2.46,0.9979834192247368,0.0,1.0,0.8191982502528519,0.1788772571643654,0.0008575581395348839,0.0010669344432478584,0.993975903614,0.974120082816,0,0
